Article,Expiry Date,Qty,Value,Inventory Report Date
TEC-PH-10001949,4/13/2024,4,17.6,5/31/2024
TEC-PH-10001949,1/26/2025,2,8.8,5/31/2024
TEC-PH-10001949,5/23/2027,0,0,5/31/2024
OFF-BI-10002215,8/25/2026,1,4.4,5/31/2024
OFF-BI-10002215,3/20/2027,2,8.8,5/31/2024
OFF-BI-10002215,8/25/2027,4,17.6,5/31/2024
OFF-BI-10002215,10/2/2025,4,17.6,5/31/2024
OFF-AR-10000246,10/2/2027,4,17.61,5/31/2024
OFF-AR-10000246,8/25/2024,2,8.8,5/31/2024
OFF-AR-10000246,10/2/2027,2,8.8,5/31/2024
OFF-AP-10001492,2/21/2027,4,17.64,5/31/2024
OFF-AP-10001492,2/21/2026,5,22.05,5/31/2024
FUR-CH-10002774,3/9/2025,5,22.07,5/31/2024
FUR-CH-10002774,12/14/2024,1,4.41,5/31/2024
FUR-CH-10002774,5/23/2025,0,0,5/31/2024
FUR-CH-10002774,1/30/2027,0,0,5/31/2024
OFF-BI-10001634,7/8/2024,3,29.34,5/31/2024
TEC-AC-10003027,8/4/2027,1,4.76,5/31/2024
TEC-AC-10003027,10/16/2025,3,14.29,5/31/2024
TEC-AC-10003027,10/15/2027,3,14.29,5/31/2024
FUR-BO-10004834,1/20/2025,2,19.6,5/31/2024
FUR-BO-10004834,10/5/2026,3,29.4,5/31/2024
OFF-BI-10000474,6/29/2026,1,4.77,5/31/2024
OFF-BI-10000474,10/13/2024,5,23.86,5/31/2024
FUR-FU-10004848,10/2/2026,3,29.32,5/31/2024
FUR-FU-10004848,9/29/2024,3,29.32,5/31/2024
FUR-FU-10004848,5/11/2024,0,0,5/31/2024
OFF-EN-10001509,8/25/2025,5,19.07,5/31/2024
OFF-AR-10004042,6/15/2027,3,11.47,5/31/2024
OFF-AR-10004042,7/29/2024,2,7.65,5/31/2024
OFF-AR-10004042,6/15/2026,2,7.65,5/31/2024
OFF-BI-10001525,7/1/2024,2,14.67,5/31/2024
OFF-AR-10001683,12/23/2025,5,19.07,5/31/2024
OFF-AR-10001683,2/7/2025,1,3.81,5/31/2024
OFF-AR-10001683,12/23/2027,5,19.07,5/31/2024
OFF-AR-10001683,12/29/2025,1,3.81,5/31/2024
OFF-PA-10000249,1/25/2026,2,7.64,5/31/2024
OFF-PA-10000249,12/14/2025,5,19.09,5/31/2024
TEC-PH-10004977,8/1/2024,1,7.36,5/31/2024
TEC-PH-10004977,8/1/2026,0,0,5/31/2024
FUR-FU-10003664,4/27/2024,6,22.89,5/31/2024
FUR-FU-10003664,4/27/2027,1,3.81,5/31/2024
FUR-FU-10003664,12/25/2025,4,15.26,5/31/2024
OFF-EN-10002986,6/13/2027,3,11.44,5/31/2024
OFF-EN-10002986,8/25/2025,2,7.63,5/31/2024
FUR-BO-10002545,3/19/2024,1,2.77,5/31/2024
FUR-CH-10004218,5/10/2025,1,2.78,5/31/2024
FUR-CH-10004218,1/5/2026,0,0,5/31/2024
TEC-PH-10000486,8/2/2025,1,2.75,5/31/2024
TEC-PH-10000486,8/2/2026,6,16.51,5/31/2024
TEC-PH-10000486,8/2/2025,2,5.5,5/31/2024
TEC-PH-10000486,8/2/2025,1,2.75,5/31/2024
TEC-PH-10004093,8/2/2027,2,5.58,5/31/2024
TEC-PH-10004093,5/14/2024,1,2.79,5/31/2024
OFF-ST-10003479,8/2/2025,1,2.74,5/31/2024
OFF-ST-10003479,2/13/2025,6,16.47,5/31/2024
OFF-ST-10003479,1/5/2024,2,5.49,5/31/2024
OFF-ST-10003282,5/8/2027,24,67,5/31/2024
TEC-AC-10000171,5/4/2026,36,100.12,5/31/2024
TEC-AC-10000171,5/4/2026,8,22.25,5/31/2024
OFF-BI-10003291,8/24/2024,1,2.75,5/31/2024
OFF-BI-10003291,8/23/2025,2,5.5,5/31/2024
OFF-BI-10003291,8/23/2027,3,8.26,5/31/2024
OFF-BI-10003291,8/23/2025,2,5.5,5/31/2024
OFF-BI-10003291,10/24/2025,3,8.26,5/31/2024
OFF-ST-10001713,8/2/2024,6,16.59,5/31/2024
OFF-ST-10001713,8/2/2027,1,2.77,5/31/2024
OFF-ST-10001713,8/2/2026,1,2.77,5/31/2024
OFF-ST-10001713,8/24/2027,1,2.77,5/31/2024
OFF-ST-10001713,8/2/2026,1,2.77,5/31/2024
OFF-ST-10001713,8/2/2027,1,2.77,5/31/2024
OFF-ST-10001713,8/2/2024,1,2.77,5/31/2024
OFF-ST-10001713,12/9/2026,2,5.53,5/31/2024
OFF-ST-10001713,12/9/2027,5,13.83,5/31/2024
OFF-ST-10001713,1/29/2027,0,0,5/31/2024
OFF-ST-10001713,5/25/2027,0,0,5/31/2024
TEC-AC-10002167,8/2/2024,1,2.78,5/31/2024
TEC-AC-10002167,8/2/2026,1,2.78,5/31/2024
TEC-AC-10002167,8/2/2024,1,2.78,5/31/2024
TEC-AC-10002167,8/2/2024,6,16.71,5/31/2024
TEC-PH-10003988,5/4/2027,36,100.44,5/31/2024
TEC-PH-10003988,5/4/2027,6,16.74,5/31/2024
TEC-PH-10003988,8/15/2026,3,8.37,5/31/2024
TEC-PH-10003988,5/4/2027,1,2.79,5/31/2024
TEC-PH-10003988,5/4/2024,3,8.37,5/31/2024
OFF-BI-10004410,3/1/2024,6,16.74,5/31/2024
OFF-BI-10004410,3/29/2024,4,11.16,5/31/2024
OFF-LA-10002762,10/31/2027,0,0,5/31/2024
FUR-FU-10001706,1/27/2026,1,2.75,5/31/2024
FUR-CH-10003061,8/2/2027,21,58.17,5/31/2024
FUR-CH-10003061,2/23/2027,3,8.31,5/31/2024
FUR-CH-10003061,5/25/2025,0,0,5/31/2024
FUR-CH-10003061,1/17/2027,0,0,5/31/2024
FUR-CH-10003061,12/22/2027,0,0,5/31/2024
OFF-FA-10000304,5/22/2027,1,2.79,5/31/2024
OFF-FA-10000304,1/27/2024,0,0,5/31/2024
TEC-PH-10002447,12/23/2024,4,11.14,5/31/2024
TEC-PH-10002447,7/22/2027,0,0,5/31/2024
OFF-ST-10000604,4/30/2024,48,133.92,5/31/2024
OFF-ST-10000604,2/1/2024,0,0,5/31/2024
OFF-PA-10001569,2/7/2025,2,5.53,5/31/2024
FUR-CH-10003968,1/29/2026,0,0,5/31/2024
OFF-PA-10000587,1/16/2024,30,83.62,5/31/2024
OFF-BI-10001460,3/1/2026,2,5.53,5/31/2024
OFF-AR-10001868,5/5/2025,30,83.47,5/31/2024
OFF-AR-10001868,5/5/2027,1,2.78,5/31/2024
TEC-AC-10004633,8/24/2026,2,5.53,5/31/2024
TEC-AC-10004633,8/2/2025,1,2.76,5/31/2024
TEC-AC-10004633,8/2/2027,2,5.53,5/31/2024
TEC-AC-10004633,8/2/2027,2,5.53,5/31/2024
TEC-AC-10004633,8/2/2025,2,5.53,5/31/2024
TEC-AC-10004633,5/22/2025,11,30.41,5/31/2024
TEC-AC-10004633,2/8/2026,1,2.76,5/31/2024
OFF-BI-10001078,8/24/2025,1,2.79,5/31/2024
OFF-BI-10001078,8/2/2026,2,5.58,5/31/2024
OFF-BI-10001078,3/31/2024,5,13.95,5/31/2024
OFF-PA-10003892,8/2/2027,2,5.6,5/31/2024
OFF-PA-10003892,8/2/2025,2,5.6,5/31/2024
OFF-PA-10003892,5/7/2026,2,5.6,5/31/2024
OFF-PA-10003892,2/28/2027,0,0,5/31/2024
OFF-PA-10003892,2/28/2027,0,0,5/31/2024
FUR-FU-10000397,8/2/2027,1,2.76,5/31/2024
FUR-FU-10000397,8/24/2027,2,5.51,5/31/2024
FUR-FU-10000397,8/2/2027,2,5.51,5/31/2024
FUR-FU-10000397,11/10/2026,1,2.76,5/31/2024
FUR-CH-10001146,5/17/2024,3,8.34,5/31/2024
OFF-AR-10002671,8/2/2025,3,8.35,5/31/2024
OFF-AR-10002671,3/19/2027,3,8.35,5/31/2024
OFF-AR-10002671,4/12/2026,0,0,5/31/2024
TEC-PH-10002726,8/24/2024,2,5.54,5/31/2024
TEC-PH-10002726,8/24/2025,1,2.77,5/31/2024
TEC-PH-10002726,8/24/2027,1,2.77,5/31/2024
TEC-PH-10002726,8/24/2025,2,5.54,5/31/2024
OFF-PA-10000482,7/10/2027,0,0,5/31/2024
OFF-BI-10004654,3/23/2027,"1,854","4,570.69",5/31/2024
OFF-PA-10004675,12/13/2027,3,16.64,5/31/2024
FUR-CH-10000513,5/15/2026,1,3.99,5/31/2024
FUR-FU-10003708,4/24/2024,2,12.89,5/31/2024
OFF-ST-10004123,1/12/2024,6,18.9,5/31/2024
OFF-BI-10004182,10/30/2025,1,3.95,5/31/2024
FUR-FU-10000260,12/28/2027,6,59.07,5/31/2024
FUR-FU-10000260,9/30/2025,1,9.84,5/31/2024
FUR-FU-10000260,8/1/2024,1,9.84,5/31/2024
FUR-FU-10000260,10/17/2025,1,9.84,5/31/2024
FUR-FU-10000260,8/3/2026,2,19.69,5/31/2024
OFF-ST-10000615,10/2/2027,0,0,5/31/2024
FUR-FU-10003194,12/30/2026,0,0,5/31/2024
OFF-AP-10002118,12/9/2025,0,0,5/31/2024
OFF-BI-10002309,1/11/2024,0,0,5/31/2024
OFF-AR-10002053,8/30/2025,12,15.03,5/31/2024
OFF-AR-10002053,9/30/2027,2,2.5,5/31/2024
OFF-AR-10002053,9/30/2026,0,0,5/31/2024
OFF-AR-10002053,9/30/2026,24,30.05,5/31/2024
OFF-AR-10002053,3/30/2024,1,1.25,5/31/2024
OFF-AR-10002053,7/30/2024,3,3.76,5/31/2024
OFF-AR-10002053,3/30/2025,2,2.5,5/31/2024
OFF-AR-10002053,5/3/2026,0,0,5/31/2024
OFF-AR-10002053,5/3/2024,0,0,5/31/2024
OFF-AR-10002053,5/3/2024,0,0,5/31/2024
OFF-AR-10002053,5/6/2024,0,0,5/31/2024
OFF-AR-10002053,5/6/2026,0,0,5/31/2024
OFF-AR-10002053,5/7/2024,0,0,5/31/2024
OFF-AR-10002053,5/8/2026,0,0,5/31/2024
OFF-AR-10002053,7/30/2024,0,0,5/31/2024
OFF-AR-10002053,6/30/2024,0,0,5/31/2024
OFF-AR-10002053,5/30/2025,0,0,5/31/2024
OFF-AR-10002053,5/30/2025,0,0,5/31/2024
OFF-AR-10002053,6/30/2026,0,0,5/31/2024
OFF-AR-10002053,6/30/2024,0,0,5/31/2024
OFF-AR-10002053,6/30/2026,0,0,5/31/2024
OFF-AR-10002053,6/30/2025,0,0,5/31/2024
OFF-AR-10002053,6/30/2025,0,0,5/31/2024
OFF-AR-10002053,5/30/2024,0,0,5/31/2024
OFF-AR-10002053,6/30/2025,0,0,5/31/2024
OFF-AR-10002053,5/24/2025,0,0,5/31/2024
OFF-AR-10002053,6/30/2024,0,0,5/31/2024
OFF-AR-10002053,5/25/2027,0,0,5/31/2024
OFF-AR-10002053,5/27/2026,0,0,5/31/2024
OFF-AR-10002053,5/28/2025,0,0,5/31/2024
OFF-AR-10002053,5/28/2026,0,0,5/31/2024
OFF-AR-10002053,5/28/2024,0,0,5/31/2024
OFF-AR-10002053,6/30/2026,0,0,5/31/2024
OFF-AR-10002053,6/3/2026,0,0,5/31/2024
OFF-AR-10002053,6/30/2025,0,0,5/31/2024
OFF-AR-10002053,6/5/2025,0,0,5/31/2024
OFF-AR-10002053,6/8/2027,0,0,5/31/2024
OFF-AR-10002053,7/30/2027,0,0,5/31/2024
OFF-AR-10002053,6/30/2024,0,0,5/31/2024
OFF-AR-10002053,6/13/2024,0,0,5/31/2024
OFF-AR-10002053,6/30/2024,0,0,5/31/2024
OFF-AR-10002053,6/30/2024,0,0,5/31/2024
OFF-ST-10002370,3/30/2026,2,7.51,5/31/2024
OFF-ST-10002370,5/30/2027,0,0,5/31/2024
OFF-ST-10002370,5/30/2027,0,0,5/31/2024
OFF-ST-10002370,5/30/2026,0,0,5/31/2024
OFF-ST-10002370,5/30/2027,0,0,5/31/2024
OFF-ST-10002370,5/30/2027,0,0,5/31/2024
OFF-ST-10002370,5/30/2026,0,0,5/31/2024
OFF-ST-10002370,5/30/2024,0,0,5/31/2024
OFF-ST-10002370,5/30/2025,0,0,5/31/2024
OFF-ST-10002370,5/20/2027,0,0,5/31/2024
OFF-ST-10002370,8/30/2024,0,0,5/31/2024
OFF-ST-10002370,6/30/2025,0,0,5/31/2024
OFF-ST-10002370,3/30/2026,0,0,5/31/2024
OFF-EN-10000927,5/30/2027,2,5.12,5/31/2024
OFF-EN-10000927,4/30/2027,3,7.67,5/31/2024
OFF-EN-10000927,5/30/2026,4,10.23,5/31/2024
OFF-EN-10000927,4/30/2025,3,7.67,5/31/2024
OFF-EN-10000927,6/30/2024,5,12.79,5/31/2024
OFF-EN-10000927,4/30/2026,1,2.56,5/31/2024
OFF-EN-10000927,6/30/2026,0,0,5/31/2024
OFF-EN-10000927,5/24/2024,0,0,5/31/2024
OFF-EN-10000927,6/30/2027,0,0,5/31/2024
OFF-EN-10000927,6/6/2026,0,0,5/31/2024
OFF-EN-10000927,6/8/2026,0,0,5/31/2024
OFF-EN-10000927,6/30/2025,0,0,5/31/2024
OFF-EN-10000927,6/14/2027,0,0,5/31/2024
OFF-ST-10003656,4/30/2026,97,456.57,5/31/2024
OFF-ST-10003656,4/30/2025,6,28.24,5/31/2024
OFF-ST-10003656,4/30/2024,4,18.83,5/31/2024
OFF-ST-10003656,4/30/2024,2,9.41,5/31/2024
OFF-ST-10003656,4/30/2026,4,18.83,5/31/2024
OFF-ST-10003656,4/30/2025,3,14.12,5/31/2024
OFF-ST-10003656,6/30/2024,0,0,5/31/2024
OFF-ST-10003656,5/26/2026,0,0,5/31/2024
OFF-ST-10003656,6/15/2025,0,0,5/31/2024
FUR-CH-10000863,10/30/2026,2,7.52,5/31/2024
FUR-CH-10000863,12/30/2025,2,7.52,5/31/2024
FUR-CH-10000863,2/28/2025,3,11.28,5/31/2024
FUR-CH-10000863,2/28/2025,9,33.85,5/31/2024
FUR-CH-10000863,8/30/2026,2,7.52,5/31/2024
FUR-CH-10000863,5/30/2027,0,0,5/31/2024
FUR-CH-10000863,5/30/2024,0,0,5/31/2024
FUR-CH-10000863,5/30/2024,0,0,5/31/2024
FUR-CH-10000863,6/30/2026,0,0,5/31/2024
FUR-CH-10000863,6/18/2027,0,0,5/31/2024
TEC-AC-10001998,6/30/2024,1,6.58,5/31/2024
TEC-AC-10001998,8/30/2027,1,6.58,5/31/2024
TEC-AC-10001998,6/30/2027,1,6.58,5/31/2024
TEC-AC-10001998,8/30/2026,1,6.58,5/31/2024
TEC-AC-10001998,3/30/2026,2,13.16,5/31/2024
TEC-AC-10001998,6/30/2024,3,19.74,5/31/2024
TEC-AC-10001998,2/28/2024,"1,868","12,290.63",5/31/2024
TEC-AC-10001998,2/28/2024,192,"1,263.28",5/31/2024
TEC-AC-10001998,2/28/2025,453,"2,980.54",5/31/2024
TEC-AC-10001998,2/28/2025,1,6.58,5/31/2024
TEC-AC-10001998,2/28/2024,5,32.9,5/31/2024
TEC-AC-10001998,2/28/2026,1,6.58,5/31/2024
TEC-AC-10001998,6/30/2024,51,335.56,5/31/2024
TEC-AC-10001998,6/30/2025,18,118.43,5/31/2024
TEC-AC-10001998,8/30/2024,3,19.74,5/31/2024
TEC-AC-10001998,8/30/2024,1,6.58,5/31/2024
TEC-AC-10001998,5/30/2024,2,13.16,5/31/2024
TEC-AC-10001998,3/30/2026,2,13.16,5/31/2024
TEC-AC-10001998,6/30/2026,5,32.9,5/31/2024
TEC-AC-10001998,8/30/2027,2,13.16,5/31/2024
TEC-AC-10001998,8/30/2024,2,13.16,5/31/2024
TEC-AC-10001998,8/30/2027,3,19.74,5/31/2024
TEC-AC-10001998,3/30/2026,2,13.16,5/31/2024
TEC-AC-10001998,2/28/2026,4,26.32,5/31/2024
TEC-AC-10001998,8/30/2026,14,92.11,5/31/2024
TEC-AC-10001998,8/30/2024,3,19.74,5/31/2024
TEC-AC-10001998,8/30/2026,4,26.32,5/31/2024
TEC-AC-10001998,3/30/2025,1,6.58,5/31/2024
TEC-AC-10001998,6/30/2026,3,19.74,5/31/2024
TEC-AC-10001998,8/30/2024,3,19.74,5/31/2024
TEC-AC-10001998,8/30/2027,2,13.16,5/31/2024
TEC-AC-10001998,8/30/2027,5,32.9,5/31/2024
TEC-AC-10001998,5/30/2027,0,0,5/31/2024
TEC-AC-10001998,5/30/2025,0,0,5/31/2024
TEC-AC-10001998,5/30/2024,0,0,5/31/2024
TEC-AC-10001998,5/30/2024,0,0,5/31/2024
TEC-AC-10001998,5/30/2027,0,0,5/31/2024
TEC-AC-10001998,5/30/2026,0,0,5/31/2024
TEC-AC-10001998,5/30/2027,0,0,5/31/2024
TEC-AC-10001998,5/30/2024,0,0,5/31/2024
TEC-AC-10001998,5/30/2025,0,0,5/31/2024
TEC-AC-10001998,5/30/2025,0,0,5/31/2024
TEC-AC-10001998,5/30/2025,0,0,5/31/2024
TEC-AC-10001998,5/30/2027,0,0,5/31/2024
TEC-AC-10001998,5/30/2027,0,0,5/31/2024
TEC-AC-10001998,5/30/2027,0,0,5/31/2024
TEC-AC-10001998,5/30/2027,0,0,5/31/2024
TEC-AC-10001998,5/30/2024,0,0,5/31/2024
TEC-AC-10001998,5/30/2024,0,0,5/31/2024
TEC-AC-10001998,5/3/2025,0,0,5/31/2024
TEC-AC-10001998,5/30/2027,0,0,5/31/2024
TEC-AC-10001998,5/30/2026,0,0,5/31/2024
TEC-AC-10001998,5/6/2024,0,0,5/31/2024
TEC-AC-10001998,5/30/2024,0,0,5/31/2024
TEC-AC-10001998,5/8/2026,0,0,5/31/2024
TEC-AC-10001998,5/8/2025,0,0,5/31/2024
TEC-AC-10001998,5/30/2026,0,0,5/31/2024
TEC-AC-10001998,5/30/2026,0,0,5/31/2024
TEC-AC-10001998,5/30/2025,0,0,5/31/2024
TEC-AC-10001998,5/8/2026,0,0,5/31/2024
TEC-AC-10001998,5/30/2025,0,0,5/31/2024
TEC-AC-10001998,6/30/2027,0,0,5/31/2024
TEC-AC-10001998,6/30/2025,0,0,5/31/2024
TEC-AC-10001998,5/30/2025,0,0,5/31/2024
TEC-AC-10001998,6/30/2026,0,0,5/31/2024
TEC-AC-10001998,2/28/2025,0,0,5/31/2024
TEC-AC-10001998,2/28/2025,0,0,5/31/2024
TEC-AC-10001998,5/30/2025,0,0,5/31/2024
TEC-AC-10001998,6/30/2026,0,0,5/31/2024
TEC-AC-10001998,5/30/2026,0,0,5/31/2024
TEC-AC-10001998,5/30/2026,0,0,5/31/2024
TEC-AC-10001998,5/17/2026,0,0,5/31/2024
TEC-AC-10001998,6/30/2026,0,0,5/31/2024
TEC-AC-10001998,5/17/2025,0,0,5/31/2024
TEC-AC-10001998,6/30/2027,0,0,5/31/2024
TEC-AC-10001998,6/30/2027,0,0,5/31/2024
TEC-AC-10001998,6/30/2026,0,0,5/31/2024
TEC-AC-10001998,12/30/2027,0,0,5/31/2024
TEC-AC-10001998,5/18/2027,0,0,5/31/2024
TEC-AC-10001998,5/21/2024,0,0,5/31/2024
TEC-AC-10001998,5/22/2027,0,0,5/31/2024
TEC-AC-10001998,6/30/2025,0,0,5/31/2024
TEC-AC-10001998,5/24/2025,0,0,5/31/2024
TEC-AC-10001998,6/30/2024,0,0,5/31/2024
TEC-AC-10001998,5/24/2026,0,0,5/31/2024
TEC-AC-10001998,5/26/2027,0,0,5/31/2024
TEC-AC-10001998,6/30/2025,0,0,5/31/2024
TEC-AC-10001998,2/28/2026,0,0,5/31/2024
TEC-AC-10001998,5/28/2024,0,0,5/31/2024
TEC-AC-10001998,10/30/2024,0,0,5/31/2024
TEC-AC-10001998,5/28/2025,0,0,5/31/2024
TEC-AC-10001998,5/28/2025,0,0,5/31/2024
TEC-AC-10001998,5/30/2025,0,0,5/31/2024
TEC-AC-10001998,3/30/2027,0,0,5/31/2024
TEC-AC-10001998,5/30/2024,0,0,5/31/2024
TEC-AC-10001998,6/30/2025,0,0,5/31/2024
TEC-AC-10001998,6/30/2027,0,0,5/31/2024
TEC-AC-10001998,6/30/2025,0,0,5/31/2024
TEC-AC-10001998,6/3/2025,0,0,5/31/2024
TEC-AC-10001998,6/3/2027,0,0,5/31/2024
TEC-AC-10001998,6/3/2027,0,0,5/31/2024
TEC-AC-10001998,6/5/2025,0,0,5/31/2024
TEC-AC-10001998,6/6/2027,0,0,5/31/2024
TEC-AC-10001998,8/30/2024,0,0,5/31/2024
TEC-AC-10001998,6/8/2027,0,0,5/31/2024
TEC-AC-10001998,6/8/2027,0,0,5/31/2024
TEC-AC-10001998,6/30/2027,0,0,5/31/2024
TEC-AC-10001998,6/30/2025,0,0,5/31/2024
TEC-AC-10001998,6/10/2024,0,0,5/31/2024
TEC-AC-10001998,3/30/2027,0,0,5/31/2024
TEC-AC-10001998,6/11/2026,0,0,5/31/2024
TEC-AC-10001998,6/30/2026,0,0,5/31/2024
TEC-AC-10001998,6/30/2025,0,0,5/31/2024
TEC-AC-10001998,6/14/2024,0,0,5/31/2024
TEC-AC-10001998,8/30/2025,0,0,5/31/2024
TEC-AC-10001998,8/30/2025,0,0,5/31/2024
TEC-AC-10001998,8/30/2025,0,0,5/31/2024
OFF-LA-10000134,3/30/2025,2,20.65,5/31/2024
OFF-LA-10000134,5/30/2024,0,0,5/31/2024
OFF-LA-10000134,5/30/2024,0,0,5/31/2024
OFF-LA-10000134,5/30/2026,0,0,5/31/2024
OFF-LA-10000134,5/30/2027,0,0,5/31/2024
OFF-LA-10000134,6/30/2026,0,0,5/31/2024
OFF-LA-10000134,6/30/2025,0,0,5/31/2024
OFF-LA-10000134,6/3/2024,0,0,5/31/2024
OFF-ST-10003442,10/30/2026,0,0,5/31/2024
OFF-ST-10003442,5/4/2024,0,0,5/31/2024
OFF-ST-10003442,6/30/2024,0,0,5/31/2024
OFF-ST-10003442,5/30/2024,0,0,5/31/2024
OFF-ST-10003442,5/25/2027,0,0,5/31/2024
OFF-ST-10003442,6/30/2026,0,0,5/31/2024
OFF-ST-10003442,6/8/2024,0,0,5/31/2024
OFF-ST-10003442,6/15/2024,0,0,5/31/2024
OFF-AR-10004930,2/28/2027,3,21.44,5/31/2024
OFF-AR-10004930,2/28/2026,2,14.29,5/31/2024
OFF-AR-10004930,5/30/2027,0,0,5/31/2024
OFF-AR-10004930,5/30/2027,0,0,5/31/2024
OFF-AR-10004930,5/30/2027,0,0,5/31/2024
OFF-AR-10004930,5/30/2026,0,0,5/31/2024
OFF-AR-10004930,5/30/2027,0,0,5/31/2024
OFF-AR-10004930,5/30/2025,0,0,5/31/2024
OFF-AR-10004930,5/30/2027,0,0,5/31/2024
OFF-AR-10004930,5/30/2027,0,0,5/31/2024
OFF-AR-10004930,5/30/2024,0,0,5/31/2024
OFF-AR-10004930,5/30/2025,0,0,5/31/2024
OFF-AR-10004930,5/30/2025,0,0,5/31/2024
OFF-AR-10004930,5/30/2024,0,0,5/31/2024
OFF-AR-10004930,5/30/2025,0,0,5/31/2024
OFF-AR-10004930,5/30/2026,0,0,5/31/2024
OFF-AR-10004930,5/30/2027,0,0,5/31/2024
OFF-AR-10004930,5/30/2026,0,0,5/31/2024
OFF-AR-10004930,5/30/2025,0,0,5/31/2024
OFF-AR-10004930,5/30/2026,0,0,5/31/2024
OFF-AR-10004930,5/30/2025,0,0,5/31/2024
OFF-AR-10004930,5/30/2025,0,0,5/31/2024
OFF-AR-10004930,5/30/2027,0,0,5/31/2024
OFF-AR-10004930,2/28/2025,0,0,5/31/2024
OFF-AR-10004930,5/30/2024,0,0,5/31/2024
OFF-AR-10004930,5/30/2026,0,0,5/31/2024
OFF-AR-10004930,5/30/2025,0,0,5/31/2024
OFF-AR-10004930,5/8/2024,0,0,5/31/2024
OFF-AR-10004930,5/9/2026,0,0,5/31/2024
OFF-AR-10004930,5/30/2025,0,0,5/31/2024
OFF-AR-10004930,5/30/2026,0,0,5/31/2024
OFF-AR-10004930,6/30/2027,0,0,5/31/2024
OFF-AR-10004930,5/30/2026,0,0,5/31/2024
OFF-AR-10004930,5/30/2027,0,0,5/31/2024
OFF-AR-10004930,5/30/2026,0,0,5/31/2024
OFF-AR-10004930,9/30/2025,0,0,5/31/2024
OFF-AR-10004930,5/30/2024,0,0,5/31/2024
OFF-AR-10004930,6/22/2024,0,0,5/31/2024
OFF-AR-10004930,5/22/2026,0,0,5/31/2024
OFF-AR-10004930,5/25/2024,0,0,5/31/2024
OFF-AR-10004930,7/30/2026,0,0,5/31/2024
OFF-AR-10004930,6/30/2024,0,0,5/31/2024
OFF-AR-10004930,6/3/2027,0,0,5/31/2024
OFF-AR-10004930,6/4/2024,0,0,5/31/2024
OFF-AR-10004930,7/30/2024,0,0,5/31/2024
OFF-AR-10004930,6/6/2025,0,0,5/31/2024
OFF-AR-10004930,6/10/2025,0,0,5/31/2024
OFF-AR-10004930,6/30/2027,0,0,5/31/2024
OFF-AR-10004930,6/30/2024,0,0,5/31/2024
OFF-AR-10004930,6/12/2025,0,0,5/31/2024
OFF-AR-10004930,6/30/2027,0,0,5/31/2024
OFF-AR-10004930,6/15/2027,0,0,5/31/2024
OFF-AR-10004930,6/18/2024,0,0,5/31/2024
