Product ID,Category,Sub-Category,Product Name,Lead Time
OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,3
OFF-BI-10004182,Office Supplies,Binders,Economy Binders,6
FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",3
OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3
FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5
OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",3
OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,3
OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",3
OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",3
OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,4
OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,3
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,3
TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,4
OFF-LA-10000134,Office Supplies,Labels,Avery 511,3
OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,5
OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,5
OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,3
OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,4
FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",3
OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,5
OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,4
FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,4
OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,4
OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,6
OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,5
TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,3
OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,5
OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),5
TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,4
FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",4
OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",6
TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,3
TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,5
OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,5
TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,3
FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,6
OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",6
OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",3
OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",3
OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",5
OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,4
OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",6
FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,3
OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,4
FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,5
OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",4
OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,4
TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,4
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,5
FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,6
OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",3
OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",4
FUR-FU-10003773,Furniture,Chairs,"Global Task Chair, Black",3
TEC-PH-10002293,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,6
OFF-PA-10002377,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,3
OFF-FA-10002780,Office Supplies,Paper,Xerox 1916,6
OFF-PA-10001804,Office Supplies,Fasteners,Staples,6
OFF-PA-10001736,Office Supplies,Paper,Xerox 195,6
OFF-AR-10001149,Office Supplies,Paper,Xerox 1880,6
OFF-FA-10002988,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",6
OFF-BI-10004781,Office Supplies,Fasteners,Ideal Clamps,3
OFF-SU-10001218,Office Supplies,Binders,GBC Wire Binding Strips,4
OFF-AR-10000940,Office Supplies,Supplies,Fiskars Softgrip Scissors,4
OFF-EN-10004030,Office Supplies,Art,Newell 343,3
OFF-PA-10004327,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,6
OFF-AP-10001058,Office Supplies,Paper,Xerox 1911,3
FUR-FU-10000521,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,6
TEC-PH-10000215,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",3
TEC-PH-10001448,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,4
OFF-BI-10002735,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,4
OFF-AP-10000326,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,4
TEC-PH-10001254,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,5
OFF-PA-10001950,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,4
OFF-PA-10002254,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,6
OFF-ST-10001590,Office Supplies,Paper,Xerox 1883,3
OFF-AR-10001547,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",3
OFF-LA-10002475,Office Supplies,Art,Newell 311,5
TEC-PH-10004536,Office Supplies,Labels,Avery 519,3
OFF-PA-10002751,Technology,Phones,Avaya 5420 Digital phone,4
TEC-AC-10003657,Office Supplies,Paper,Xerox 1920,6
OFF-EN-10001990,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,6
OFF-BI-10004002,Office Supplies,Envelopes,Staple envelope,4
OFF-AR-10004441,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,5
TEC-MA-10000822,Office Supplies,Art,BIC Brite Liner Highlighters,4
OFF-ST-10000991,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,4
FUR-CH-10004287,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,4
OFF-AR-10002656,Furniture,Chairs,SAFCO Arco Folding Chair,6
OFF-AP-10002518,Office Supplies,Art,Sanford Liquid Accent Highlighters,3
TEC-PH-10003931,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,3
OFF-PA-10000659,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,3
OFF-PA-10001144,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",6
FUR-CH-10003817,Office Supplies,Paper,Xerox 1913,6
OFF-AP-10000891,Furniture,Chairs,"Global Value Steno Chair, Gray",5
OFF-LA-10003148,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,4
OFF-AP-10002684,Office Supplies,Labels,Avery 51,5
FUR-CH-10004698,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",5
OFF-SU-10002189,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",4
OFF-AR-10001940,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,3
OFF-ST-10003455,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3
TEC-AC-10004659,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",4
TEC-PH-10003273,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,3
TEC-PH-10004896,Technology,Phones,AT&T TR1909W,5
TEC-AC-10002345,Technology,Phones,Nokia Lumia 521 (T-Mobile),4
OFF-BI-10001890,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,3
TEC-AC-10002323,Office Supplies,Binders,Avery Poly Binder Pockets,5
OFF-ST-10001328,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,5
FUR-BO-10002613,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",5
TEC-PH-10001552,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",3
OFF-PA-10000061,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,6
OFF-AR-10003514,Office Supplies,Paper,Xerox 205,3
OFF-AR-10004685,Office Supplies,Art,4009 Highlighters by Sanford,3
OFF-AR-10004027,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",4
OFF-ST-10001414,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",4
OFF-BI-10000343,Office Supplies,Storage,Decoflex Hanging Personal Folder File,4
OFF-PA-10002749,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4
OFF-PA-10002666,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",4
FUR-TA-10004289,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,6
OFF-AP-10003622,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,5
OFF-AP-10003217,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",6
FUR-FU-10002960,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,5
TEC-PH-10001918,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",5
OFF-ST-10000642,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,4
TEC-PH-10001700,Office Supplies,Storage,"Tennsco Lockers, Gray",4
OFF-FA-10000134,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,5
OFF-ST-10001522,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",6
TEC-AC-10001266,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",3
OFF-LA-10004544,Technology,Accessories,Memorex Micro Travel Drive 8 GB,6
FUR-BO-10004695,Office Supplies,Labels,Avery 505,5
TEC-MA-10000864,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,6
TEC-AC-10000109,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,5
TEC-PH-10002563,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,3
OFF-FA-10000585,Technology,Phones,Adtran 1202752G1,6
OFF-PA-10004000,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,6
FUR-FU-10000087,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",6
TEC-MA-10001148,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",5
OFF-AR-10001958,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,3
OFF-AR-10001026,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,4
FUR-TA-10003748,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",5
OFF-ST-10002485,Furniture,Tables,Bevis 36 x 72 Conference Tables,5
FUR-CH-10004860,Office Supplies,Storage,Rogers Deluxe File Chest,6
FUR-CH-10004477,Furniture,Chairs,Global Low Back Tilter Chair,3
OFF-BI-10001679,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",3
FUR-TA-10001705,Office Supplies,Binders,GBC Instant Index System for Binding Systems,6
FUR-TA-10003473,Furniture,Tables,Bush Advantage Collection Round Conference Table,4
FUR-FU-10004017,Furniture,Tables,Bretford Rectangular Conference Table Tops,3
TEC-AC-10003832,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",5
OFF-PA-10002479,Technology,Accessories,Logitech P710e Mobile Speakerphone,6
OFF-PA-10003349,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),4
FUR-FU-10000576,Office Supplies,Paper,Xerox 1957,6
FUR-FU-10004351,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,4
TEC-PH-10000011,Furniture,Furnishings,Staple-based wall hangings,5
FUR-TA-10002607,Technology,Phones,PureGear Roll-On Screen Protector,6
FUR-FU-10002505,Furniture,Tables,KI Conference Tables,6
OFF-ST-10002276,Furniture,Furnishings,Eldon 100 Class Desk Accessories,3
OFF-PA-10004082,Office Supplies,Storage,Safco Steel Mobile File Cart,4
OFF-AP-10002945,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",5
FUR-CH-10002965,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,5
OFF-PA-10004569,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5
OFF-ST-10001228,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",6
OFF-EN-10003296,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",5
OFF-ST-10004804,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,3
TEC-PH-10001580,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",4
TEC-AC-10000290,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,4
OFF-ST-10002790,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,6
OFF-BI-10003460,Office Supplies,Storage,Safco Industrial Shelving,6
OFF-AP-10002203,Office Supplies,Binders,Acco 3-Hole Punch,4
TEC-MA-10003353,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,6
TEC-PH-10001433,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,5
TEC-AC-10004469,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,5
OFF-AR-10003602,Technology,Accessories,Microsoft Sculpt Comfort Mouse,4
OFF-FA-10003472,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",6
OFF-ST-10004180,Office Supplies,Fasteners,Bagged Rubber Bands,3
OFF-EN-10004386,Office Supplies,Storage,Safco Commercial Shelving,3
OFF-ST-10003208,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",3
TEC-AC-10003628,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,4
FUR-FU-10003274,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,5
OFF-BI-10002557,Furniture,Furnishings,Regeneration Desk Collection,6
OFF-PA-10002615,Office Supplies,Binders,Presstex Flexible Ring Binders,6
OFF-AR-10001427,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",6
OFF-PA-10000673,Office Supplies,Art,Newell 330,4
OFF-PA-10004470,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",3
OFF-ST-10000876,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",4
OFF-LA-10002043,Office Supplies,Storage,Eldon Simplefile Box Office,3
OFF-BI-10004967,Office Supplies,Labels,Avery 489,4
TEC-PH-10001760,Office Supplies,Binders,Round Ring Binders,3
FUR-TA-10002903,Technology,Phones,Bose SoundLink Bluetooth Speaker,5
OFF-PA-10000474,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",5
TEC-AC-10001956,Office Supplies,Paper,Easy-staple paper,5
OFF-PA-10004100,Technology,Accessories,Microsoft Arc Touch Mouse,5
OFF-BI-10000778,Office Supplies,Paper,Xerox 216,6
OFF-SU-10000646,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine,4
OFF-FA-10002983,Office Supplies,Supplies,Premier Automatic Letter Opener,5
OFF-LA-10004689,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,3
TEC-AC-10002001,Office Supplies,Labels,Avery 512,5
FUR-BO-10004709,Technology,Accessories,Logitech Wireless Gaming Headset G930,4
FUR-FU-10004091,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",3
FUR-CH-10001891,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",3
FUR-FU-10002918,Furniture,Chairs,Global Deluxe Office Fabric Chairs,6
OFF-BI-10004593,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,3
OFF-FA-10004854,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,4
OFF-PA-10002105,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",3
OFF-ST-10002756,Office Supplies,Paper,Xerox 223,4
OFF-PA-10004243,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",6
FUR-FU-10001861,Office Supplies,Paper,Xerox 1939,3
OFF-BI-10002706,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",3
FUR-TA-10002533,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,6
FUR-FU-10002671,Furniture,Tables,BPI Conference Tables,3
OFF-AR-10003651,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,3
OFF-BI-10001072,Office Supplies,Art,Newell 350,6
OFF-AR-10002135,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",6
OFF-AR-10002804,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,3
FUR-FU-10001918,Office Supplies,Art,Faber Castell Col-Erase Pencils,3
FUR-CH-10004086,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,5
FUR-FU-10001756,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,5
OFF-LA-10000634,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",5
FUR-FU-10001588,Office Supplies,Labels,Avery 509,4
TEC-PH-10002398,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",3
OFF-PA-10001937,Technology,Phones,AT&T 1070 Corded Phone,6
OFF-AR-10003373,Office Supplies,Paper,Xerox 21,6
FUR-CH-10002602,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",5
TEC-MA-10002927,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,3
TEC-AC-10000892,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,6
OFF-FA-10000624,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,3
TEC-AC-10001908,Office Supplies,Fasteners,OIC Binder Clips,3
FUR-FU-10001967,Technology,Accessories,Logitech Wireless Headset h800,4
TEC-PH-10003645,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,4
OFF-ST-10000675,Technology,Phones,Aastra 57i VoIP phone,5
FUR-CH-10003312,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",3
OFF-LA-10001074,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,6
OFF-BI-10001524,Office Supplies,Labels,Round Specialty Laser Printer Labels,4
TEC-PH-10004614,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,5
OFF-BI-10001153,Technology,Phones,AT&T 841000 Phone,3
